reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
86,125,150,53,53,0,t,1.0714232490281574,None,0,53,53,37,110.97310987499077,,110.96435650001513,110.97310987499077,111.95532441599062,111.95532441599062,111.9717169579817,113.02901841601124,t,1.0714232490281574,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
92,140,165,54,54,0,l,1.9542551659978926,None,0,54,54,40,113.04365266597597,,113.03552470798604,113.04365266597597,114.0283878329792,114.0283878329792,114.03838845796417,115.9904087909963,l,1.9542551659978926,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
42,84,19,55,55,0,t,1.7738257909659296,None,0,55,55,61,116.00795870798174,,115.99878541601356,116.00795870798174,116.9885502079851,116.9885502079851,117.00501479097875,118.77362908300711,t,1.7738257909659296,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
74,160,35,56,56,0,t,1.5545900000142865,None,0,56,56,77,118.78925779100973,,118.78056266601197,118.78925779100973,119.77186529099708,119.77186529099708,119.77829487499548,121.32915287499782,t,1.5545900000142865,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
66,90,100,57,57,0,t,1.0210622909944504,None,0,57,57,27,121.34438008297002,,121.33580299996538,121.34438008297002,122.32828408299247,122.32828408299247,122.33828420797363,123.35678816598374,t,1.0210622909944504,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
10,20,3,58,58,0,t,0.7952774159493856,None,0,58,58,45,123.3733458329807,,123.36418095801491,123.3733458329807,124.35504012496676,124.35504012496676,124.37169470801018,125.15690466598608,t,0.7952774159493856,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
50,76,65,59,59,0,l,0.6332317490014248,None,0,59,59,20,125.17346366599668,,125.16429129097378,125.17346366599668,126.15499929100042,126.15499929100042,126.17164483299712,126.79012033296749,l,0.6332317490014248,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
64,88,95,60,60,0,t,0.5681047500111163,None,0,60,60,26,126.80640966596548,,126.79731670796173,126.80640966596548,127.78821466601221,127.78821466601221,127.80501474998891,128.36216454097303,t,0.5681047500111163,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
58,120,27,61,61,0,t,0.976739666017238,None,0,61,61,69,128.37694654101506,,128.36896087497007,128.37694654101506,129.36153116601054,129.36153116601054,129.37151466601063,130.34023862500908,t,0.976739666017238,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
116,265,56,62,62,0,l,0.6539336660061963,None,0,62,62,98,130.3563212499721,,130.34713949996512,130.3563212499721,131.33832229097607,131.33832229097607,131.3552866249811,131.99532704096055,l,0.6539336660061963,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
