stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
38,1,1.0,43.44694820899167,,43.43898870899284,43.44694820899167,43.93650045899267,43.93650045899267,43.940782042001956,44.22369216699735,44.491334749996895,right,1.0,1,1,0.5514498340053251,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
39,1,1.0,44.50325416699343,,44.49167491699336,44.50325416699343,44.99142608400143,44.99142608400143,44.99142608400143,45.28957116699894,45.605356500003836,right,1.0,1,1,0.6037030419975054,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
40,1,1.0,45.613023333993624,,45.60576491699612,45.613023333993624,46.103241083998,46.103241083998,46.106974499998614,46.39006579200213,46.57136533399171,right,1.0,1,1,0.4648404159961501,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
41,1,1.0,46.57904054199753,,46.571757041994715,46.57904054199753,47.06993120900006,47.06993120900006,47.074803249997785,47.35739133399329,47.63818383400212,right,1.0,1,1,0.56314654200105,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
42,1,1.0,47.646330042000045,,47.63860687499982,47.646330042000045,48.13668687499012,48.13668687499012,48.14171404199442,48.42396133400325,48.70466133399168,left,-1.0,1,1,0.5641892919957172,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
43,1,1.0,48.712155458997586,,48.704990375001216,48.712155458997586,49.20318908400077,49.20318908400077,49.20732658400084,49.489408708992414,49.75452024998958,right,1.0,1,1,0.5457366250047926,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
44,1,1.0,49.76232449999952,,49.754797333996976,49.76232449999952,50.25312458399276,50.25312458399276,50.256691542002955,50.5396777499991,50.83856012499018,left,-1.0,1,1,0.5738715000043157,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
45,1,1.0,50.84686583399889,,50.83903358399402,50.84686583399889,51.33635854200111,51.33635854200111,51.34064212499652,51.62339920899831,52.00464324999484,right,1.0,1,1,0.6586649169912562,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
46,1,1.0,52.012600749993,,52.00499254200258,52.012600749993,52.50325779199193,52.50325779199193,52.50792120899132,52.78994558399427,53.13803241700225,left,-1.0,1,1,0.6226411670068046,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
47,1,1.0,53.14696412500052,,53.138403249991825,53.14696412500052,53.63643816699914,53.63643816699914,53.64021616699756,53.92338062499766,54.17426516699197,right,1.0,1,1,0.5344538339995779,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
